model, entity URI, belief
human, http://human.owl#NCI_C12499, 2
human, http://human.owl#NCI_C32315, 3
human, http://human.owl#NCI_C12424, 2
human, http://human.owl#NCI_C32826, 2
human, http://human.owl#NCI_C52749, 2
human, http://human.owl#NCI_C49479, 4
human, http://human.owl#NCI_C12724, 2
human, http://human.owl#NCI_C33878, 2
human, http://human.owl#NCI_C33200, 3
human, http://human.owl#NCI_C33371, 2
human, http://human.owl#NCI_C12877, 4
human, http://human.owl#NCI_C33385, 4
human, http://human.owl#NCI_C52859, 2
human, http://human.owl#NCI_C42079, 4
human, http://human.owl#NCI_C33310, 2
human, http://human.owl#NCI_C32876, 2
human, http://human.owl#NCI_C32193, 2
human, http://human.owl#NCI_C13093, 3
human, http://human.owl#NCI_C33463, 2
human, http://human.owl#NCI_C13114, 2
human, http://human.owl#NCI_C32619, 2
human, http://human.owl#NCI_C12528, 2
human, http://human.owl#NCI_C33057, 2
human, http://human.owl#NCI_C33763, 2
human, http://human.owl#NCI_C12794, 3
human, http://human.owl#NCI_C49798, 2
human, http://human.owl#NCI_C32253, 2
human, http://human.owl#NCI_C32986, 2
human, http://human.owl#NCI_C33573, 7
human, http://human.owl#NCI_C32729, 2
human, http://human.owl#NCI_C32041, 2
human, http://human.owl#NCI_C32267, 3
human, http://human.owl#NCI_C32793, 2
human, http://human.owl#NCI_C33608, 2
human, http://human.owl#NCI_C49230, 2
human, http://human.owl#NCI_C38516, 5
human, http://human.owl#NCI_C32536, 2
human, http://human.owl#NCI_C12381, 2
human, http://human.owl#NCI_C32377, 2
human, http://human.owl#NCI_C32151, 3
human, http://human.owl#NCI_C12960, 2
human, http://human.owl#NCI_C33213, 2
human, http://human.owl#NCI_C26464, 2
human, http://human.owl#NCI_C33718, 2
human, http://human.owl#NCI_C43630, 5
human, http://human.owl#NCI_C12717, 3
human, http://human.owl#NCI_C33698, 2
human, http://human.owl#NCI_C33191, 2
human, http://human.owl#NCI_C43422, 3
