model, entity URI, belief
human, http://human.owl#NCI_C12499, 79
human, http://human.owl#NCI_C32315, 260
human, http://human.owl#NCI_C12424, 22
human, http://human.owl#NCI_C32826, 169
human, http://human.owl#NCI_C52749, 24
human, http://human.owl#NCI_C49479, 41
human, http://human.owl#NCI_C12724, 91
human, http://human.owl#NCI_C33878, 10
human, http://human.owl#NCI_C33200, 149
human, http://human.owl#NCI_C33371, 236
human, http://human.owl#NCI_C12877, 206
human, http://human.owl#NCI_C33385, 169
human, http://human.owl#NCI_C52859, 25
human, http://human.owl#NCI_C42079, 91
human, http://human.owl#NCI_C33310, 31
human, http://human.owl#NCI_C32876, 100
human, http://human.owl#NCI_C32193, 20
human, http://human.owl#NCI_C13093, 5
human, http://human.owl#NCI_C33463, 6
human, http://human.owl#NCI_C13114, 15
human, http://human.owl#NCI_C32619, 17
human, http://human.owl#NCI_C12528, 7
human, http://human.owl#NCI_C33057, 8
human, http://human.owl#NCI_C33763, 16
human, http://human.owl#NCI_C12794, 40
human, http://human.owl#NCI_C49798, 10
human, http://human.owl#NCI_C32253, 18
human, http://human.owl#NCI_C32986, 108
human, http://human.owl#NCI_C33573, 50
human, http://human.owl#NCI_C32729, 25
human, http://human.owl#NCI_C32041, 20
human, http://human.owl#NCI_C32267, 249
human, http://human.owl#NCI_C32793, 20
human, http://human.owl#NCI_C33608, 139
human, http://human.owl#NCI_C49230, 31
human, http://human.owl#NCI_C38516, 190
human, http://human.owl#NCI_C32536, 35
human, http://human.owl#NCI_C12381, 123
human, http://human.owl#NCI_C32377, 29
human, http://human.owl#NCI_C32151, 175
human, http://human.owl#NCI_C12960, 46
human, http://human.owl#NCI_C33213, 46
human, http://human.owl#NCI_C26464, 204
human, http://human.owl#NCI_C33718, 61
human, http://human.owl#NCI_C43630, 11
human, http://human.owl#NCI_C12717, 26
human, http://human.owl#NCI_C33698, 236
human, http://human.owl#NCI_C33191, 110
human, http://human.owl#NCI_C43422, 50
human, http://human.owl#NCI_C40373, 60
human, http://human.owl#NCI_C32702, 42
human, http://human.owl#NCI_C12697, 20
human, http://human.owl#NCI_C33010, 123
human, http://human.owl#NCI_C12485, 58
human, http://human.owl#NCI_C33476, 11
human, http://human.owl#NCI_C13072, 91
human, http://human.owl#NCI_C32696, 60
human, http://human.owl#NCI_C12410, 35
human, http://human.owl#NCI_C32812, 31
human, http://human.owl#NCI_C32439, 16
human, http://human.owl#NCI_C32965, 4
human, http://human.owl#NCI_C32979, 12
human, http://human.owl#NCI_C49243, 13
human, http://human.owl#NCI_C52845, 86
human, http://human.owl#NCI_C32549, 64
human, http://human.owl#NCI_C32904, 12
human, http://human.owl#NCI_C48944, 9
human, http://human.owl#NCI_C38336, 11
human, http://human.owl#NCI_C32356, 11
human, http://human.owl#NCI_C53073, 199
human, http://human.owl#NCI_C12938, 52
human, http://human.owl#NCI_C33206, 20
human, http://human.owl#NCI_C12818, 196
human, http://human.owl#NCI_C33302, 16
human, http://human.owl#NCI_C13085, 60
human, http://human.owl#NCI_C12301, 37
human, http://human.owl#NCI_C32522, 14
human, http://human.owl#NCI_C52956, 199
human, http://human.owl#NCI_C33469, 37
human, http://human.owl#NCI_C12862, 13
human, http://human.owl#NCI_C13169, 76
human, http://human.owl#NCI_C12403, 119
human, http://human.owl#NCI_C33592, 169
human, http://human.owl#NCI_C32259, 34
human, http://human.owl#NCI_C33579, 65
human, http://human.owl#NCI_C32861, 26
human, http://human.owl#NCI_C49222, 27
human, http://human.owl#NCI_C32604, 17
human, http://human.owl#NCI_C32799, 28
human, http://human.owl#NCI_C12513, 78
human, http://human.owl#NCI_C52838, 13
human, http://human.owl#NCI_C32369, 67
human, http://human.owl#NCI_C33427, 5
human, http://human.owl#NCI_C12263, 123
human, http://human.owl#NCI_C38329, 33
human, http://human.owl#NCI_C12820, 20
human, http://human.owl#NCI_C12709, 91
human, http://human.owl#NCI_C33012, 60
human, http://human.owl#NCI_C32474, 199
human, http://human.owl#NCI_C12758, 20
human, http://human.owl#NCI_C33026, 24
human, http://human.owl#NCI_C32217, 40
human, http://human.owl#NCI_C52760, 23
human, http://human.owl#NCI_C33197, 170
human, http://human.owl#NCI_C38439, 63
human, http://human.owl#NCI_C13122, 16
human, http://human.owl#NCI_C34082, 123
human, http://human.owl#NCI_C32757, 91
human, http://human.owl#NCI_C32584, 220
human, http://human.owl#NCI_C32271, 177
human, http://human.owl#NCI_C13078, 18
human, http://human.owl#NCI_C33136, 12
human, http://human.owl#NCI_C12416, 119
human, http://human.owl#NCI_C12924, 23
human, http://human.owl#NCI_C53046, 139
human, http://human.owl#NCI_C32120, 79
human, http://human.owl#NCI_C19178, 78
human, http://human.owl#NCI_C12470, 135
human, http://human.owl#NCI_C33155, 65
human, http://human.owl#NCI_C33399, 8
human, http://human.owl#NCI_C49319, 20
human, http://human.owl#NCI_C41061, 17
human, http://human.owl#NCI_C33247, 58
human, http://human.owl#NCI_C32710, 18
human, http://human.owl#NCI_C33494, 236
human, http://human.owl#NCI_C12640, 26
human, http://human.owl#NCI_C28128, 204
human, http://human.owl#NCI_C33565, 86
human, http://human.owl#NCI_C33308, 45
human, http://human.owl#NCI_C52753, 24
human, http://human.owl#NCI_C32284, 38
human, http://human.owl#NCI_C33357, 4
human, http://human.owl#NCI_C52809, 31
human, http://human.owl#NCI_C32069, 57
human, http://human.owl#NCI_C49473, 102
human, http://human.owl#NCI_C32577, 40
human, http://human.owl#NCI_C52863, 7
human, http://human.owl#NCI_C12236, 13
human, http://human.owl#NCI_C12744, 47
human, http://human.owl#NCI_C32088, 108
human, http://human.owl#NCI_C33523, 6
human, http://human.owl#NCI_C52941, 169
human, http://human.owl#NCI_C12519, 19
human, http://human.owl#NCI_C49277, 33
human, http://human.owl#NCI_C33051, 64
human, http://human.owl#NCI_C53152, 199
human, http://human.owl#NCI_C13049, 52
human, http://human.owl#NCI_C12331, 76
human, http://human.owl#NCI_C49792, 63
human, http://human.owl#NCI_C52667, 9
human, http://human.owl#NCI_C32198, 44
human, http://human.owl#NCI_C12269, 123
human, http://human.owl#NCI_C12826, 169
human, http://human.owl#NCI_C33602, 36
human, http://human.owl#NCI_C12347, 252
human, http://human.owl#NCI_C33712, 37
human, http://human.owl#NCI_C33865, 7
human, http://human.owl#NCI_C13022, 105
human, http://human.owl#NCI_C12457, 236
human, http://human.owl#NCI_C33692, 236
human, http://human.owl#NCI_C32202, 123
human, http://human.owl#NCI_C32397, 40
human, http://human.owl#NCI_C33233, 14
human, http://human.owl#NCI_C33480, 26
human, http://human.owl#NCI_C33516, 9
human, http://human.owl#NCI_C33343, 40
human, http://human.owl#NCI_C33030, 24
human, http://human.owl#NCI_C33496, 236
human, http://human.owl#NCI_C43220, 22
human, http://human.owl#NCI_C32306, 22
human, http://human.owl#NCI_C33823, 40
human, http://human.owl#NCI_C33140, 38
human, http://human.owl#NCI_C12646, 10
human, http://human.owl#NCI_C49304, 67
human, http://human.owl#NCI_C13191, 128
human, http://human.owl#NCI_C32631, 123
human, http://human.owl#NCI_C52794, 22
human, http://human.owl#NCI_C38330, 33
human, http://human.owl#NCI_C32350, 79
human, http://human.owl#NCI_C49263, 91
human, http://human.owl#NCI_C32569, 169
human, http://human.owl#NCI_C32645, 190
human, http://human.owl#NCI_C33419, 95
human, http://human.owl#NCI_C12812, 20
human, http://human.owl#NCI_C34006, 43
human, http://human.owl#NCI_C12861, 30
human, http://human.owl#NCI_C12799, 57
human, http://human.owl#NCI_C33529, 40
human, http://human.owl#NCI_C52947, 169
human, http://human.owl#NCI_C33043, 55
human, http://human.owl#NCI_C33795, 78
human, http://human.owl#NCI_C33336, 18
human, http://human.owl#NCI_C12372, 291
human, http://www.geneontology.org/formats/oboInOwl#Synonym, 1
human, http://human.owl#NCI_C33643, 10
human, http://human.owl#NCI_C12708, 61
human, http://human.owl#NCI_C28351, 204
human, http://human.owl#NCI_C12240, 91
human, http://human.owl#NCI_C32866, 9
human, http://human.owl#NCI_C33704, 19
human, http://human.owl#NCI_C32937, 34
human, http://human.owl#NCI_C12254, 57
human, http://human.owl#NCI_C33196, 175
human, http://human.owl#NCI_C38323, 30
human, http://human.owl#NCI_C33753, 34
human, http://human.owl#NCI_C41442, 9
human, http://human.owl#NCI_C32465, 53
human, http://human.owl#NCI_C12752, 26
human, http://human.owl#NCI_C39686, 35
human, http://human.owl#NCI_C32208, 108
human, http://human.owl#NCI_C13077, 72
human, http://human.owl#NCI_C33239, 65
human, http://human.owl#NCI_C12632, 14
human, http://human.owl#NCI_C52780, 12
human, http://human.owl#NCI_C41834, 16
human, http://human.owl#NCI_C33349, 16
human, http://human.owl#NCI_C49190, 20
human, http://human.owl#NCI_C12915, 26
human, http://human.owl#NCI_C52555, 35
human, http://human.owl#NCI_C52890, 125
human, http://human.owl#NCI_C33829, 57
human, http://human.owl#NCI_C33656, 236
human, http://www.geneontology.org/formats/oboInOwl#Definition, 1
human, http://human.owl#NCI_C13252, 61
human, http://human.owl#NCI_C32828, 75
human, http://human.owl#NCI_C49313, 91
human, http://human.owl#NCI_C12475, 38
human, http://human.owl#NCI_C49269, 222
human, http://human.owl#NCI_C33251, 4
human, http://human.owl#NCI_C32686, 37
human, http://human.owl#NCI_C52725, 33
human, http://human.owl#NCI_C38629, 15
human, http://human.owl#NCI_C32923, 22
human, http://human.owl#NCI_C12853, 47
human, http://human.owl#NCI_C33361, 37
human, http://human.owl#NCI_C12867, 91
human, http://human.owl#NCI_C32852, 79
human, http://human.owl#NCI_C32571, 8
human, http://human.owl#NCI_C13155, 25
human, http://human.owl#NCI_C33404, 79
human, http://human.owl#NCI_C12569, 25
human, http://human.owl#NCI_C33098, 14
human, http://human.owl#NCI_C32314, 17
human, http://human.owl#NCI_C52829, 6
human, http://human.owl#NCI_C49227, 13
human, http://human.owl#NCI_C32609, 12
human, http://human.owl#NCI_C32840, 11
human, http://human.owl#NCI_C12378, 23
human, http://human.owl#NCI_C33892, 200
human, http://human.owl#NCI_C49788, 45
human, http://human.owl#NCI_C32082, 30
human, http://human.owl#NCI_C32243, 14
human, http://human.owl#NCI_C33649, 75
human, http://human.owl#NCI_C41165, 23
human, http://human.owl#NCI_C43615, 52
human, http://human.owl#NCI_C32192, 60
human, http://human.owl#NCI_C12295, 65
human, http://human.owl#NCI_C33759, 236
human, http://human.owl#NCI_C33071, 18
human, http://human.owl#NCI_C41448, 18
human, http://human.owl#NCI_C13069, 204
human, http://human.owl#NCI_C33127, 20
human, http://human.owl#NCI_C12351, 236
human, http://human.owl#NCI_C33815, 52
human, http://human.owl#NCI_C53037, 96
human, http://human.owl#NCI_C32743, 163
human, http://human.owl#NCI_C12846, 9
human, http://human.owl#NCI_C12673, 65
human, http://human.owl#NCI_C12687, 10
human, http://human.owl#NCI_C12461, 236
human, http://human.owl#NCI_C52786, 12
human, http://human.owl#NCI_C33925, 42
human, http://human.owl#NCI_C12956, 204
human, http://human.owl#NCI_C52711, 38
human, http://human.owl#NCI_C32415, 33
human, http://human.owl#NCI_C33732, 40
human, http://human.owl#NCI_C41406, 195
human, http://human.owl#NCI_C32429, 182
human, http://human.owl#NCI_C32955, 155
human, http://human.owl#NCI_C48824, 57
human, http://human.owl#NCI_C25444, 302
human, http://human.owl#NCI_C33510, 27
human, http://human.owl#NCI_C52744, 169
human, http://human.owl#NCI_C32185, 34
human, http://human.owl#NCI_C12859, 18
human, http://human.owl#NCI_C33635, 75
human, http://human.owl#NCI_C32563, 108
human, http://human.owl#NCI_C33684, 30
human, http://human.owl#NCI_C32858, 139
human, http://human.owl#NCI_C12281, 67
human, http://human.owl#NCI_C33445, 18
human, http://human.owl#NCI_C33745, 65
human, http://human.owl#NCI_C52946, 199
human, http://human.owl#NCI_C12444, 236
human, http://human.owl#NCI_C32492, 40
human, http://human.owl#NCI_C32846, 169
human, http://human.owl#NCI_C33794, 61
human, http://human.owl#NCI_C32408, 8
human, http://human.owl#NCI_C32235, 10
human, http://human.owl#NCI_C12817, 139
human, http://human.owl#NCI_C32249, 236
human, http://human.owl#NCI_C32775, 17
