Belief, OntClass, Nearby OntClasses
4, http://mouse.owl#MA_0002505, http://mouse.owl#MA_0002505, http://mouse.owl#MA_0002504, http://mouse.owl#MA_0002552, http://mouse.owl#MA_0002551, 
1, http://mouse.owl#MA_0002638, http://mouse.owl#MA_0002638, 
5, http://mouse.owl#MA_0000411, http://mouse.owl#MA_0000411, http://mouse.owl#MA_0001747, http://mouse.owl#MA_0001746, http://mouse.owl#MA_0000545, http://mouse.owl#MA_0002420, 
10, http://mouse.owl#MA_0000544, http://mouse.owl#MA_0000543, http://mouse.owl#MA_0000544, http://mouse.owl#MA_0000389, http://mouse.owl#MA_0001703, http://mouse.owl#MA_0001702, http://mouse.owl#MA_0000790, http://mouse.owl#MA_0000385, http://mouse.owl#MA_0000395, http://mouse.owl#MA_0000384, http://mouse.owl#MA_0000394, 
3, http://mouse.owl#MA_0000108, http://mouse.owl#MA_0000108, http://mouse.owl#MA_0000486, http://mouse.owl#MA_0000104, 
2, http://mouse.owl#MA_0000677, http://mouse.owl#MA_0000677, http://mouse.owl#MA_0000671, 
2, http://human.owl#NCI_C41450, http://human.owl#NCI_C41450, http://human.owl#NCI_C25769, 
7, http://human.owl#NCI_C33038, http://human.owl#NCI_C33768, http://human.owl#NCI_C25762, http://human.owl#NCI_C32439, http://human.owl#NCI_C33038, http://human.owl#NCI_C33037, http://human.owl#NCI_C33485, http://human.owl#NCI_C33663, 
5, http://human.owl#NCI_C32939, http://human.owl#NCI_C32798, http://human.owl#NCI_C32939, http://human.owl#NCI_C33671, http://human.owl#NCI_C33373, http://human.owl#NCI_C32772, 
2, http://human.owl#NCI_C33341, http://human.owl#NCI_C32732, http://human.owl#NCI_C33341, 
2, http://human.owl#NCI_C33474, http://human.owl#NCI_C32357, http://human.owl#NCI_C33474, 
2, http://human.owl#NCI_C12970, http://human.owl#NCI_C12970, http://human.owl#NCI_C13031, 
1, http://mouse.owl#MA_0001743, http://mouse.owl#MA_0001743, 
2, http://human.owl#NCI_C12401, http://human.owl#NCI_C12401, http://human.owl#NCI_C33224, 
2, http://human.owl#NCI_C12534, http://human.owl#NCI_C12534, http://human.owl#NCI_C33904, 
1, http://mouse.owl#MA_0001307, http://mouse.owl#MA_0001307, 
2, http://human.owl#NCI_C49599, http://human.owl#NCI_C49599, http://human.owl#NCI_C33040, 
2, http://human.owl#NCI_C12667, http://human.owl#NCI_C12667, http://human.owl#NCI_C32301, 
3, http://mouse.owl#MA_0001610, http://mouse.owl#MA_0001520, http://mouse.owl#MA_0001610, http://mouse.owl#MA_0001611, 
4, http://human.owl#NCI_C52851, http://human.owl#NCI_C52851, http://human.owl#NCI_C32837, http://human.owl#NCI_C33357, http://human.owl#NCI_C32087, 
2, http://mouse.owl#MA_0001876, http://mouse.owl#MA_0001878, http://mouse.owl#MA_0001876, 
2, http://human.owl#NCI_C32276, http://human.owl#NCI_C32276, http://human.owl#NCI_C33794, 
