model, entity URI, belief
human, http://human.owl#NCI_C12499, 173
human, http://human.owl#NCI_C32315, 571
human, http://human.owl#NCI_C12424, 302
human, http://human.owl#NCI_C32826, 291
human, http://human.owl#NCI_C52749, 67
human, http://human.owl#NCI_C49479, 55
human, http://human.owl#NCI_C12724, 88
human, http://human.owl#NCI_C33878, 36
human, http://human.owl#NCI_C33200, 234
human, http://human.owl#NCI_C33371, 315
human, http://human.owl#NCI_C12877, 282
human, http://human.owl#NCI_C33385, 291
human, http://human.owl#NCI_C52859, 101
human, http://human.owl#NCI_C42079, 85
human, http://human.owl#NCI_C33310, 182
human, http://human.owl#NCI_C32876, 145
human, http://human.owl#NCI_C32193, 61
human, http://human.owl#NCI_C13093, 31
human, http://human.owl#NCI_C33463, 21
human, http://human.owl#NCI_C13114, 25
human, http://human.owl#NCI_C32619, 143
human, http://human.owl#NCI_C12528, 21
human, http://human.owl#NCI_C33057, 35
human, http://human.owl#NCI_C33763, 15
human, http://human.owl#NCI_C12794, 96
human, http://human.owl#NCI_C49798, 60
human, http://human.owl#NCI_C32253, 30
human, http://human.owl#NCI_C32986, 293
human, http://human.owl#NCI_C33573, 66
human, http://human.owl#NCI_C32729, 101
human, http://human.owl#NCI_C32041, 63
human, http://human.owl#NCI_C32267, 65
human, http://human.owl#NCI_C32793, 175
human, http://human.owl#NCI_C33608, 207
human, http://human.owl#NCI_C49230, 91
human, http://human.owl#NCI_C38516, 51
human, http://human.owl#NCI_C32536, 100
human, http://human.owl#NCI_C12381, 231
human, http://human.owl#NCI_C32377, 8
human, http://human.owl#NCI_C32151, 294
human, http://human.owl#NCI_C12960, 33
human, http://human.owl#NCI_C33213, 91
human, http://human.owl#NCI_C26464, 282
human, http://human.owl#NCI_C33718, 260
human, http://human.owl#NCI_C43630, 11
human, http://human.owl#NCI_C12717, 47
human, http://human.owl#NCI_C33698, 315
human, http://human.owl#NCI_C33191, 199
human, http://human.owl#NCI_C43422, 55
human, http://human.owl#NCI_C40373, 413
human, http://human.owl#NCI_C32702, 51
human, http://human.owl#NCI_C12697, 63
human, http://human.owl#NCI_C33010, 231
human, http://human.owl#NCI_C12485, 83
human, http://human.owl#NCI_C33476, 11
human, http://human.owl#NCI_C13072, 88
human, http://human.owl#NCI_C32696, 235
human, http://human.owl#NCI_C12410, 100
human, http://human.owl#NCI_C32812, 182
human, http://human.owl#NCI_C32439, 37
human, http://human.owl#NCI_C32965, 84
human, http://human.owl#NCI_C32979, 60
human, http://human.owl#NCI_C49243, 25
human, http://human.owl#NCI_C52845, 199
human, http://human.owl#NCI_C32549, 79
human, http://human.owl#NCI_C32904, 33
human, http://human.owl#NCI_C48944, 10
